warrior,date,type,notes,ao
Dauber,2026-01-02,Post,the-olympiad - Running into the New Year,the-olympiad
Chum Bucket,2026-01-02,Post,the-olympiad - Running into the New Year,the-olympiad
Foreclosure,2026-01-02,Post,the-olympiad - Running into the New Year,the-olympiad
Broomstick,2026-01-02,Post,the-olympiad - Running into the New Year,the-olympiad
Depends (3rdF Q),2026-01-02,Post,the-olympiad - Running into the New Year,the-olympiad
Mr. Kotter,2026-01-02,Post,the-colosseum - 21 x 7 w/ Juanita,the-colosseum
Mr. Kotter,2026-01-03,Post,the-colosseum - Nemo’s ladder!,the-colosseum
Dilly Dilly,2026-01-03,Q,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Dilly Dilly,2026-01-03,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Dauber,2026-01-03,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Chum Bucket,2026-01-03,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Broomstick,2026-01-03,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Mr. Kotter,2026-01-03,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?,the-ridge
Pull-up,2026-01-01,Post,the-ridge - Zimmer’s Plan C - Ruck Club,the-ridge
Sparkler,2026-01-01,Post,black-diamond - Foghorn Brings In 2026,black-diamond
Broomstick,2026-01-01,Post,black-diamond - Foghorn Brings In 2026,black-diamond
Duck Hunt,2026-01-01,Post,black-diamond - Foghorn Brings In 2026,black-diamond
Duck Hunt,2026-01-03,Post,da-grizz - Gotta have more cowbell,da-grizz
Duck Hunt,2026-01-03,Post,da-grizz - Homer's Cliffhanger Ruck,da-grizz
Duck Hunt,2026-01-02,Post,da-grizz - 11x2xHank Hill,da-grizz
Sparkler,2026-01-02,Post,the-grove - Foundation's Present Bootcamp at TG,the-grove
Pull-up,2026-01-02,Post,the-grove - Foundation's Present Bootcamp at TG,the-grove
Stitch,2026-01-02,Post,the-grove - Foundation's Present Bootcamp at TG,the-grove
Mr. Kotter,2026-01-01,Post,el-coyote - Ducks Medicine Ball Ruck,el-coyote
Duck Hunt,2026-01-01,Q,el-coyote - Ducks Medicine Ball Ruck,el-coyote
Duck Hunt,2026-01-01,Post,el-coyote - Ducks Medicine Ball Ruck,el-coyote
Dilly Dilly,2026-01-01,EC,2.0,winter_warrior_2026
Dilly Dilly,2026-01-02,EC,1.0,winter_warrior_2026
Dilly Dilly,2026-01-03,EC,4.2,winter_warrior_2026
Mr. Kotter,2026-01-01,EC,0.0,winter_warrior_2026
Sparkler,2026-01-01,EC,1.75,winter_warrior_2026
Sparkler,2026-01-02,EC,5.7,winter_warrior_2026
Duck Hunt,2026-01-01,EC,1.75,winter_warrior_2026
Dauber,2026-01-03,EC,2.97,winter_warrior_2026
Pull-up,2026-01-02,EC,4.25,winter_warrior_2026
Chum Bucket,2026-01-02,EC,1.0,winter_warrior_2026
Chum Bucket,2026-01-03,EC,2.0,winter_warrior_2026
Sparkler,2026-01-01,Donation,Donation - Mobile Blood Donation (12/30),winter_warrior_2026
Foreclosure,2026-01-02,EC,3.47,winter_warrior_2026
Broomstick,2026-01-02,EC,3.47,winter_warrior_2026
Depends (3rdF Q),2026-01-02,EC,3.47,winter_warrior_2026
Mr. Kotter,2026-01-01,Snowman,Snowman ?,winter_warrior_2026
Mr. Kotter,2026-01-02,EC,2.77,winter_warrior_2026
Mr. Kotter,2026-01-03,Donation,Donation,winter_warrior_2026
Stitch,2026-01-02,EC,2.7,winter_warrior_2026
