date,warrior,ao,type,notes
2026-01-01,Spit Valve,downrange,Post,downrange - New Years Ruck- EEBC at the Wood
2026-01-01,Foghorn,black-diamond,Q,black-diamond - Foghorn Brings In 2026
2026-01-01,Duck Hunt,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Slackbot,downrange,Q,downrange - FNG New Year BC at BP
2026-01-01,Slackbot,downrange,Post,downrange - FNG New Year BC at BP
2026-01-01,Spit Valve,downrange,Q,downrange - New Years Ruck- EEBC at the Wood
2026-01-01,Broomstick,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Sparkler,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Mr. Kotter,winter_warrior_2026,Snowman,Snowman
2026-01-01,Slackbot,winter_warrior_2026,Snowman,Snowman
2026-01-01,Foghorn,black-diamond,Post,black-diamond - Foghorn Brings In 2026
2026-01-01,Pull-up,the-ridge,Post,the-ridge - Zimmer’s Plan C - Ruck Club
2026-01-01,Sparkler,winter_warrior_2026,Donation,Donation - Mobile Blood Donation (12/30)
2026-01-01,Mr. Kotter,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck
2026-01-01,Duck Hunt,el-coyote,Q,el-coyote - Ducks Medicine Ball Ruck
2026-01-01,Duck Hunt,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck
2026-01-01,Dilly Dilly,winter_warrior_2026,EC,2.0
2026-01-01,Spit Valve,the-colosseum,Post,the-colosseum - Spity V’s New Year Intervals
2026-01-01,Sparkler,winter_warrior_2026,EC,1.75
2026-01-01,Spit Valve,the-colosseum,Q,the-colosseum - Spity V’s New Year Intervals
2026-01-01,Duck Hunt,winter_warrior_2026,EC,1.75
2026-01-01,Deja vu,downrange,Post,downrange - Downrange
2026-01-02,Party in a bottle,the-ridge,Q,the-ridge - It's a party ( in a bottle)
2026-01-02,Mr. Kotter,the-colosseum,Post,the-colosseum - 21 x 7 w/ Juanita
2026-01-02,Stitch,winter_warrior_2026,EC,2.7
2026-01-02,Party in a bottle,the-ridge,Post,the-ridge - It's a party ( in a bottle)
2026-01-02,Mr. Kotter,winter_warrior_2026,EC,2.77
2026-01-02,Depends (3rdF Q),winter_warrior_2026,EC,3.47
2026-01-02,Broomstick,winter_warrior_2026,EC,3.47
2026-01-02,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Foreclosure,winter_warrior_2026,EC,3.47
2026-01-02,Sparkler,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Pull-up,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Foghorn,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Stitch,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG
2026-01-02,Dilly Dilly,winter_warrior_2026,EC,1.0
2026-01-02,Sparkler,winter_warrior_2026,EC,5.7
2026-01-02,Pull-up,winter_warrior_2026,EC,4.25
2026-01-02,Duck Hunt,da-grizz,Post,da-grizz - 11x2xHank Hill
2026-01-02,Broomstick,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-02,Chum Bucket,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Foreclosure,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-02,Spit Valve,downrange,Post,downrange - Black Panther Run Club
2026-01-02,Spit Valve,downrange,Q,downrange - Black Panther Run Club
2026-01-02,Deja vu,downrange,Post,downrange - Downrange
2026-01-02,Slackbot,downrange,Q,downrange - DR F3 Indy South
2026-01-02,Slackbot,downrange,Post,downrange - DR F3 Indy South
2026-01-02,Dauber,the-olympiad,Post,the-olympiad - Running into the New Year
2026-01-03,Mr. Kotter,the-colosseum,Post,the-colosseum - Nemo’s ladder!
2026-01-03,Deja vu,downrange,Post,downrange - Downrange
2026-01-03,Duck Hunt,da-grizz,Post,da-grizz - Gotta have more cowbell
